scope,model,final_games,accuracy,avg_log_loss,avg_brier,top1_accuracy,top3_accuracy,top5_accuracy
target_date_2026-06-27,v1_0,0,,,,,,
target_date_2026-06-27,v1_1,0,,,,,,
