target_date,game_pk,game,game_time_et,status,away_team,home_team,away_probable_pitcher,home_probable_pitcher,away_starter_id,home_starter_id,away_starter_hand,home_starter_hand,both_starter_hands_known,env_temp,env_temp_source,opp_adj_offense_diff,home_vs_hand_games_scaled,away_vs_hand_games_scaled,vs_hand_games_scaled_diff,home_vs_hand_games,away_vs_hand_games,feature_complete_numeric
2026-06-27,824257,HOU @ DET,1:10 PM,Scheduled,Houston Astros,Detroit Tigers,Kai-Wei Teng,Framber Valdez,678906,664285,R,L,True,74.0,default_missing_live_weather,-0.32724680936669337,1.0,0.46,0.54,57,23,True
2026-06-27,824745,NYY @ BOS,1:10 PM,Scheduled,New York Yankees,Boston Red Sox,Gerrit Cole,Jake Bennett,543037,687562,R,L,True,74.0,default_missing_live_weather,-0.897814594361181,1.0,0.6,0.4,61,30,True
2026-06-27,822794,TEX @ TOR,3:07 PM,Scheduled,Texas Rangers,Toronto Blue Jays,Cal Quantrill,Dylan Cease,615698,656302,R,R,True,74.0,default_missing_live_weather,0.1764616994867243,1.0,1.0,0.0,61,64,True
2026-06-27,823364,CIN @ PIT,4:05 PM,Scheduled,Cincinnati Reds,Pittsburgh Pirates,Chase Burns,Jared Jones,695505,683003,R,R,True,74.0,default_missing_live_weather,0.7354533922163515,1.0,1.0,0.0,61,63,True
2026-06-27,823609,PHI @ NYM,4:10 PM,Scheduled,Philadelphia Phillies,New York Mets,Alan Rangel,Christian Scott,660604,681035,R,R,True,74.0,default_missing_live_weather,-0.5055389167537374,1.0,0.98,0.020000000000000018,61,49,True
2026-06-27,824581,KC @ CWS,4:10 PM,Scheduled,Kansas City Royals,Chicago White Sox,Michael Wacha,Davis Martin,608379,663436,R,R,True,74.0,default_missing_live_weather,0.5245635944046549,1.0,1.0,0.0,56,61,True
2026-06-27,822960,AZ @ TB,6:10 PM,Scheduled,Arizona Diamondbacks,Tampa Bay Rays,Jose Cabrera,Cole Sulser,703615,642121,R,R,True,74.0,default_missing_live_weather,0.23768234380001285,1.0,1.0,0.0,54,60,True
2026-06-27,824825,WSH @ BAL,7:05 PM,Scheduled,Washington Nationals,Baltimore Orioles,Foster Griffin,Brandon Young,656492,687064,L,R,True,74.0,default_missing_live_weather,-0.6747624099057417,0.46,1.0,-0.54,23,57,True
2026-06-27,824421,SEA @ CLE,7:10 PM,Scheduled,Seattle Mariners,Cleveland Guardians,Logan Gilbert,Slade Cecconi,669302,677944,R,R,True,74.0,default_missing_live_weather,0.027527137687477943,1.0,1.0,0.0,54,58,True
2026-06-27,823689,COL @ MIN,7:10 PM,Scheduled,Colorado Rockies,Minnesota Twins,Michael Lorenzen,Mike Paredes,547179,702474,R,R,True,74.0,default_missing_live_weather,0.22194542637514836,1.0,1.0,0.0,57,61,True
2026-06-27,823770,CHC @ MIL,7:10 PM,Scheduled,Chicago Cubs,Milwaukee Brewers,David Peterson,Kyle Harrison,656849,690986,L,L,True,74.0,default_missing_live_weather,0.3655848865474738,0.48,0.4,0.07999999999999996,24,20,True
2026-06-27,823038,MIA @ STL,7:15 PM,Scheduled,Miami Marlins,St. Louis Cardinals,Ryan Gusto,Andre Pallante,687473,669467,R,R,True,74.0,default_missing_live_weather,0.2721214313046074,1.0,1.0,0.0,59,62,True
2026-06-27,823283,LAD @ SD,8:40 PM,Scheduled,Los Angeles Dodgers,San Diego Padres,Yoshinobu Yamamoto,Randy Vásquez,808967,681190,R,R,True,74.0,default_missing_live_weather,-1.1275399050593853,1.0,1.0,0.0,60,62,True
2026-06-27,823207,ATL @ SF,9:05 PM,Scheduled,Atlanta Braves,San Francisco Giants,Bryce Elder,Logan Webb,693821,657277,R,R,True,74.0,default_missing_live_weather,-0.6442926696816702,1.0,0.92,0.07999999999999996,59,46,True
2026-06-27,824015,ATH @ LAA,9:38 PM,Scheduled,Athletics,Los Angeles Angels,Jack Perkins,Reid Detmers,678022,672282,R,L,True,74.0,default_missing_live_weather,-0.14755054915229238,1.0,0.48,0.52,60,24,True
