feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
vs_hand_games_scaled_diff,2025,2428,0.5551894563426688,0.6803338404579165,0.24369560869872814,-0.0007643256468510273,-0.0003719293669170176
away_vs_hand_games_scaled,2025,2428,0.5613673805601318,0.6806530540100649,0.24385063180813643,-0.00044511209470254887,-0.0002169062575087255
home_faces_lhp,2025,2428,0.5634266886326195,0.6808049830590964,0.24392380521240575,-0.0002931830456710527,-0.00014373285323940332
away_lineup_platoon_adv_pct,2025,2428,0.5613673805601318,0.6808074207061512,0.24392451224072495,-0.0002907453986162878,-0.00014302582492020655
lineup_platoon_adv_pct_diff,2025,2428,0.5663097199341022,0.6808172304026514,0.24392813769693364,-0.00028093570211606966,-0.0001394003687115175
away_faces_lhp,2025,2428,0.5593080724876441,0.6808557578606774,0.24394926521907387,-0.00024240824409005324,-0.00011827284657128789
away_lineup_known_bats_scaled,2025,2428,0.5597199341021417,0.6809009816003221,0.24400759710569062,-0.00019718450444539126,-5.994095995454085e-05
home_lineup_known_bats_scaled,2025,2428,0.5597199341021417,0.6809009816003221,0.24400759710569062,-0.00019718450444539126,-5.994095995454085e-05
away_lineup_switch_pct,2025,2428,0.5601317957166392,0.6809590403333926,0.24400435699602327,-0.0001391257713748706,-6.318106962188708e-05
lineup_switch_pct_diff,2025,2428,0.557660626029654,0.68099691010675,0.2440238381338095,-0.00010125599801746876,-4.369993183564458e-05
away_lineup_opposite_hand_pct,2025,2428,0.5597199341021417,0.6810208561782005,0.24402885637001573,-7.730992656695967e-05,-3.8681695629427804e-05
lineup_known_bats_scaled_diff,2025,2428,0.5597199341021417,0.6810981661047675,0.24406753806564516,0.0,0.0
home_lineup_platoon_adv_pct,2025,2428,0.5580724876441515,0.6811184377303875,0.2440776924004436,2.0271625620016387e-05,1.0154334798451181e-05
home_lineup_switch_pct,2025,2428,0.5556013179571664,0.6811271154845998,0.2440832336842358,2.894937983233259e-05,1.5695618590633176e-05
starter_hand_matchup_same,2025,2428,0.5584843492586491,0.6811495521861467,0.24409204216630442,5.138608137922329e-05,2.4504100659267225e-05
home_vs_hand_games_scaled,2025,2428,0.5601317957166392,0.6812434542653153,0.2441388301574667,0.00014528816054781846,7.129209182155094e-05
lineup_opposite_hand_pct_diff,2025,2428,0.5580724876441515,0.6812463040565613,0.24414179695831675,0.00014813795179380307,7.425889267159702e-05
team_vs_hand_recent_rapg_diff,2025,2428,0.5593080724876441,0.6813561611962393,0.24419121719883932,0.00025799509147184096,0.00012367913319416557
team_vs_hand_win_pct_diff,2025,2428,0.5626029654036244,0.6813734955455399,0.24420793722430356,0.0002753294407724649,0.00014039915865840524
home_lineup_opposite_hand_pct,2025,2428,0.5556013179571664,0.6813750524362386,0.24420633960773153,0.00027688633147116004,0.00013880154208636974
team_vs_hand_recent_win_pct_diff,2025,2428,0.5593080724876441,0.6814809927620777,0.24425663384213767,0.00038282665731026455,0.00018909577649250942
team_vs_hand_rpg_diff,2025,2428,0.5543657331136738,0.6815274263253462,0.24428616388253013,0.00042926022057876434,0.0002186258168849764
team_vs_hand_recent_rpg_diff,2025,2428,0.5518945634266886,0.6815312166261,0.24428430222845302,0.0004330505213324676,0.0002167641628078587
team_vs_hand_rapg_diff,2025,2428,0.5617792421746294,0.6817666804064675,0.2443882535621675,0.0006685143017000073,0.0003207154965223502
team_vs_hand_recent_run_diff_pg_diff,2025,2428,0.5535420098846787,0.6817825586023586,0.2444018113802799,0.0006843924975911131,0.000334273314634731
team_vs_hand_run_diff_pg_diff,2025,2428,0.5551894563426688,0.6819309469462909,0.24447408447790658,0.0008327808415233839,0.00040654641226142707
