feature_set,seasons_tested,avg_accuracy,avg_log_loss,avg_brier,worst_log_loss,best_log_loss,num_added_features,added_features,avg_log_loss_delta,avg_brier_delta,avg_accuracy_delta,beats_avg_log_loss,beats_avg_brier,beats_every_season_log_loss,beats_every_season_brier,strict_promotion_candidate
team_plus_away_vs_hand_games_scaled__env_temp__lineup_platoon_adv_pct_diff,2,0.5614581800226939,0.6812418300085049,0.2441218575496852,0.6821335806936447,0.6803500793233651,3,"away_vs_hand_games_scaled, env_temp, lineup_platoon_adv_pct_diff",-0.0003765666928237099,-0.00018067445079381073,0.0028826921811742068,True,True,True,False,False
team_plus_vs_hand_games_scaled_diff,2,0.5561044029346115,0.6812527010587358,0.24412474812790674,0.6821715616595552,0.6803338404579165,1,vs_hand_games_scaled_diff,-0.0003656956425928115,-0.00017778387257227912,-0.002471084906908172,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled__env_temp,2,0.5581638805672533,0.6812551540669181,0.24413042120614448,0.6824653673578813,0.6800449407759548,3,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled, env_temp",-0.0003632426344105655,-0.00017211079433454568,-0.0004116072742663679,True,True,False,False,False
team_plus_env_temp__lineup_platoon_adv_pct_diff,2,0.5620761420045943,0.681256059321592,0.24412907641399073,0.6820857839825442,0.6804263346606398,2,"env_temp, lineup_platoon_adv_pct_diff",-0.0003623373797366769,-0.0001734555864882914,0.003500654163074657,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__opp_adj_offense_diff__home_faces_lhp,2,0.5616630934690177,0.681260676629371,0.24413282189941457,0.6823727779278416,0.6801485753309003,3,"vs_hand_games_scaled_diff, opp_adj_offense_diff, home_faces_lhp",-0.00035772007195766786,-0.00016971010106445195,0.0030876056274979913,True,True,False,False,False
team_plus_env_temp__away_faces_lhp,2,0.5600167491520296,0.6812617032656675,0.24413191843998144,0.682045565370119,0.680477841161216,2,"env_temp, away_faces_lhp",-0.0003566934356611373,-0.00017061356049757892,0.0014412613105099226,True,True,True,True,True
team_plus_opp_adj_offense_diff__lineup_platoon_adv_pct_diff__away_lineup_platoon_adv_pct,2,0.5602216625983534,0.6812636033941099,0.2441327075933212,0.6821354773707661,0.6803917294174536,3,"opp_adj_offense_diff, lineup_platoon_adv_pct_diff, away_lineup_platoon_adv_pct",-0.00035479330721877034,-0.00016982440715782032,0.001646174756833707,True,True,True,True,True
team_plus_away_vs_hand_games_scaled__env_temp__away_lineup_platoon_adv_pct,2,0.5637225711016595,0.6812667236443479,0.24413508263505798,0.6821473053455833,0.6803861419431125,3,"away_vs_hand_games_scaled, env_temp, away_lineup_platoon_adv_pct",-0.00035167305698069473,-0.00016744936542104072,0.005147083260139795,True,True,False,False,False
team_plus_env_temp__away_lineup_platoon_adv_pct,2,0.5620756333241319,0.6812691520431471,0.24413636917029935,0.6821356007932918,0.6804027032930022,2,"env_temp, away_lineup_platoon_adv_pct",-0.0003492446581815356,-0.00016616283017967248,0.003500145482612238,True,True,True,False,False
team_plus_opp_adj_offense_diff__away_faces_lhp,2,0.5593987023900522,0.6812717397859015,0.24413618555783867,0.6820776178559226,0.6804658617158804,2,"opp_adj_offense_diff, away_faces_lhp",-0.00034665691542712374,-0.0001663464426403527,0.0008232145485325137,True,True,True,True,True
team_plus_opp_adj_offense_diff__lineup_platoon_adv_pct_diff__away_faces_lhp,2,0.5583695570342708,0.6812851355733536,0.24414454986548326,0.6821278529745618,0.6804424181721452,3,"opp_adj_offense_diff, lineup_platoon_adv_pct_diff, away_faces_lhp",-0.0003332611279750486,-0.00015798213499576552,-0.00020593080724884416,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__away_faces_lhp,2,0.557958288880313,0.6812859842437993,0.24414090047824621,0.6821509064277083,0.6804210620598903,2,"vs_hand_games_scaled_diff, away_faces_lhp",-0.0003324124575293519,-0.00016163152223280797,-0.0006171989612067108,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__env_temp__away_lineup_platoon_adv_pct,2,0.5612519948752139,0.6812983744440533,0.2441536183323274,0.682715138238111,0.6798816106499954,3,"vs_hand_games_scaled_diff, env_temp, away_lineup_platoon_adv_pct",-0.00032002225727534306,-0.00014891366815161788,0.0026765070336942642,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__env_temp__lineup_platoon_adv_pct_diff,2,0.556722364916512,0.6812993892157915,0.24415539667903924,0.6825752114048498,0.6800235670267332,3,"vs_hand_games_scaled_diff, env_temp, lineup_platoon_adv_pct_diff",-0.0003190074855371483,-0.00014713532143978414,-0.001853122925007722,True,True,False,False,False
team_plus_env_temp__lineup_platoon_adv_pct_diff__away_lineup_platoon_adv_pct,2,0.5622810554509181,0.681303627676461,0.24415305051796,0.682177278508342,0.68042997684458,3,"env_temp, lineup_platoon_adv_pct_diff, away_lineup_platoon_adv_pct",-0.0003147690248676005,-0.0001494814825190316,0.0037055676093984413,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__lineup_platoon_adv_pct_diff,2,0.5628991869929727,0.6813324236509882,0.244163236102932,0.6821465913284098,0.6805182559735666,2,"away_vs_hand_games_scaled, lineup_platoon_adv_pct_diff",-0.00028597305034039344,-0.00013929589754702043,0.004323699151453031,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__opp_adj_offense_diff__home_faces_lhp,2,0.5612516557549055,0.6813410333529538,0.2441705759853846,0.6827028246741113,0.6799792420317964,3,"away_vs_hand_games_scaled, opp_adj_offense_diff, home_faces_lhp",-0.0002773633483748039,-0.00013195601509441435,0.002676167913385874,True,True,False,False,False
team_plus_env_temp__opp_adj_offense_diff__home_faces_lhp,2,0.5596044636371467,0.6813419395898659,0.24417614666722975,0.6825988200920405,0.6800850590876911,3,"env_temp, opp_adj_offense_diff, home_faces_lhp",-0.00027645711146273566,-0.00012638533324926815,0.0010289757956269963,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__env_temp,2,0.5593987871701291,0.6813437456927387,0.24417198397366172,0.6821693372646329,0.6805181541208445,2,"away_vs_hand_games_scaled, env_temp",-0.0002746510085899212,-0.00013054802681730648,0.0008232993286094725,True,True,False,False,False
team_plus_env_temp__lineup_platoon_adv_pct_diff__away_faces_lhp,2,0.5585759965219821,0.6813498785575278,0.24417637886247293,0.6822090522191608,0.6804907048958948,3,"env_temp, lineup_platoon_adv_pct_diff, away_faces_lhp",-0.00026851814380079997,-0.0001261531380060965,5.08680462418809e-07,True,True,False,False,False
team_plus_opp_adj_offense_diff__away_lineup_platoon_adv_pct__home_faces_lhp,2,0.5606333546526967,0.6813565892206166,0.24417982913333044,0.6825805679656158,0.6801326104756175,3,"opp_adj_offense_diff, away_lineup_platoon_adv_pct, home_faces_lhp",-0.00026180748071202853,-0.00012270286714857748,0.0020578668111770337,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__away_lineup_platoon_adv_pct,2,0.5620752094237464,0.6813639912745202,0.2441793161473928,0.6821578030832263,0.6805701794658141,2,"away_vs_hand_games_scaled, away_lineup_platoon_adv_pct",-0.00025440542680843503,-0.00012321585308622263,0.003499721582226778,True,True,False,False,False
team_plus_env_temp__away_faces_lhp__home_faces_lhp,2,0.5604282716462188,0.6813775652117102,0.2441895250082044,0.6825804521852045,0.680174678238216,3,"env_temp, away_faces_lhp, home_faces_lhp",-0.0002408314896183983,-0.00011300699227462241,0.0018527838046991096,True,True,False,False,False
team_plus_opp_adj_offense_diff__away_faces_lhp__home_faces_lhp,2,0.5610459792878881,0.6813901845923931,0.24419527709826694,0.682589770866578,0.6801905983182083,3,"opp_adj_offense_diff, away_faces_lhp, home_faces_lhp",-0.00022821210893553268,-0.00010725490221208389,0.0024704914463684613,True,True,False,False,False
team_plus_env_temp__away_lineup_platoon_adv_pct__home_faces_lhp,2,0.5622814793513036,0.6813963880131604,0.2441994777974465,0.6826839641493377,0.6801088118769829,3,"env_temp, away_lineup_platoon_adv_pct, home_faces_lhp",-0.00022200868816824038,-0.00010305420303252655,0.0037059915097839013,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__lineup_platoon_adv_pct_diff__away_lineup_platoon_adv_pct,2,0.5616634325893259,0.6813964730347942,0.24419495048952503,0.6821995657636125,0.6805933803059759,3,"away_vs_hand_games_scaled, lineup_platoon_adv_pct_diff, away_lineup_platoon_adv_pct",-0.000221923666534396,-0.00010758151095399682,0.0030879447478062705,True,True,False,False,False
team_plus_away_vs_hand_games_scaled,2,0.5612518253150598,0.6814110387493427,0.24420205264745645,0.6821690234886205,0.6806530540100649,1,away_vs_hand_games_scaled,-0.00020735795198589813,-0.00010047935302257005,0.0026763374735401246,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled,2,0.5546633959643327,0.6814175623324027,0.24420735354887302,0.6825489437605193,0.680286180904286,2,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled",-0.00020083436892592843,-9.517845160600391e-05,-0.003912091877186996,True,True,False,False,False
team_plus_env_temp,2,0.558369726594425,0.6814191887932142,0.24420914343511363,0.6821186023304524,0.6807197752559758,1,env_temp,-0.00019920790811445155,-9.33885653653932e-05,-0.00020576124709470456,True,True,True,True,True
team_plus_opp_adj_offense_diff,2,0.5577509168117536,0.6814236598256423,0.24421012364063954,0.682144868262747,0.6807024513885377,1,opp_adj_offense_diff,-0.0001947368756862744,-9.240835983947981e-05,-0.0008245710297660747,True,True,False,True,False
team_plus_vs_hand_games_scaled_diff__home_faces_lhp,2,0.5589873494560171,0.6814495360647772,0.24422073854465626,0.6823725902874355,0.680526481842119,2,"vs_hand_games_scaled_diff, home_faces_lhp",-0.0001688606365514156,-8.179345582276509e-05,0.0004118616144974663,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__env_temp__home_faces_lhp,2,0.561045894507811,0.6814575328124315,0.24422865466975507,0.6826962282358442,0.6802188373890188,3,"away_vs_hand_games_scaled, env_temp, home_faces_lhp",-0.00016086388889713366,-7.38773307239482e-05,0.0024704066662912805,True,True,False,False,False
team_plus_lineup_platoon_adv_pct_diff,2,0.5620762267846715,0.6814581909760578,0.24422395067735814,0.6820991515494642,0.6808172304026514,1,lineup_platoon_adv_pct_diff,-0.00016020572527086774,-7.85813231208854e-05,0.0035007389431518376,True,True,True,True,True
team_plus_away_vs_hand_games_scaled__opp_adj_offense_diff__away_faces_lhp,2,0.5604282716462188,0.6814630067751426,0.24422869717484666,0.6824477584407527,0.6804782551095325,3,"away_vs_hand_games_scaled, opp_adj_offense_diff, away_faces_lhp",-0.00015538992618602254,-7.383482563236288e-05,0.0018527838046991096,True,True,False,False,False
team_plus_away_faces_lhp,2,0.5577520189527558,0.6814676640430408,0.24422881586307843,0.6820795702254043,0.6808557578606774,1,away_faces_lhp,-0.00015073265828779991,-7.371613740059235e-05,-0.0008234688887638342,True,True,True,True,True
