feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
home_road_rapg_diff,2025,2428,0.5593080724876441,0.6810413778110791,0.24403925541074672,-5.678829368838123e-05,-2.8282654898431625e-05
home_road_run_diff_pg_diff,2025,2428,0.5584843492586491,0.6810573259565564,0.2440489345475279,-4.084014821104098e-05,-1.8603518117249473e-05
home_road_recent_rpg_diff,2025,2428,0.5613673805601318,0.6810637499265325,0.244050363889278,-3.44161782349639e-05,-1.7174176367151794e-05
home_road_rpg_diff,2025,2428,0.5556013179571664,0.6810787783138421,0.24406072115145508,-1.938779092536258e-05,-6.816914190077572e-06
home_road_recent_run_diff_pg_diff,2025,2428,0.5597199341021417,0.681095095641249,0.24406602704218022,-3.070463518439759e-06,-1.511023464934036e-06
home_home_games_scaled,2025,2428,0.5597199341021417,0.681096851156389,0.24406689553437155,-1.314948378516867e-06,-6.42531273603586e-07
home_road_recent_rapg_diff,2025,2428,0.557660626029654,0.6811204682003907,0.24407820067393668,2.230209562326113e-05,1.066260829152288e-05
away_road_games_scaled,2025,2428,0.5605436573311368,0.681132701887928,0.24408439334198398,3.453578316048311e-05,1.6855276338823e-05
home_road_recent_win_pct_diff,2025,2428,0.5564250411861614,0.6812032375777743,0.2441179173793935,0.00010507147300686803,5.037931374834992e-05
home_road_games_scaled_diff,2025,2428,0.5564250411861614,0.6812126970544553,0.24412512116269752,0.00011453094968782995,5.7583097052366083e-05
home_road_win_pct_diff,2025,2428,0.5584843492586491,0.6812520776315654,0.2441408175231816,0.00015391152679788966,7.327945753643483e-05
