game_pk,date,season,home_team,away_team,home_win_pct,away_win_pct,win_pct_diff,home_rpg,away_rpg,rpg_diff,home_rapg,away_rapg,rapg_diff,home_run_diff_pg,away_run_diff_pg,run_diff_per_game_diff,home_recent_win_pct,away_recent_win_pct,recent_win_pct_diff,home_recent_rpg,away_recent_rpg,recent_rpg_diff,home_recent_rapg,away_recent_rapg,recent_rapg_diff,home_field,home_win,home_win_prob,predicted_home_win,correct,prob_bucket
778545,2025-03-27,2025,SD,ATL,0.5401234567901234,0.595679012345679,-0.05555555555555558,4.666666666666667,5.095679012345679,-0.4290123456790118,4.064814814814815,4.083333333333333,0.018518518518518157,0.6018518518518521,1.0123456790123457,-0.41049382716049365,0.7,0.7,0.0,3.8,5.1,-1.2999999999999998,3.3,2.7,-0.5999999999999996,1,1,0.46675828529462754,0,0,<50%
778546,2025-03-27,2025,LAD,DET,0.6111111111111112,0.5061728395061729,0.1049382716049383,5.395061728395062,4.145061728395062,1.25,4.2746913580246915,4.265432098765432,-0.009259259259259522,1.1203703703703702,-0.12037037037037024,1.2407407407407405,0.8,0.7,0.10000000000000009,7.4,3.7,3.7,3.5,3.5,0.0,1,1,0.5930061374673448,1,1,55-60%
778547,2025-03-27,2025,SEA,ATH,0.5339506172839507,0.36728395061728397,0.16666666666666669,4.425925925925926,3.7901234567901234,0.6358024691358022,3.9074074074074074,5.209876543209877,1.3024691358024691,0.5185185185185182,-1.4197530864197532,1.9382716049382713,0.8,0.3,0.5,5.6,3.0,2.5999999999999996,3.0,5.0,2.0,1,1,0.6372610163259327,1,1,60-65%
778551,2025-03-27,2025,STL,MIN,0.47530864197530864,0.5216049382716049,-0.04629629629629628,4.29320987654321,4.691358024691358,-0.3981481481481488,4.777777777777778,4.302469135802469,-0.47530864197530853,-0.48456790123456805,0.3888888888888893,-0.8734567901234573,0.6,0.2,0.39999999999999997,4.8,3.1,1.6999999999999997,3.9,5.9,2.0000000000000004,1,1,0.4987024520991454,0,0,<50%
778552,2025-03-27,2025,AZ,CHC,0.5339506172839507,0.5123456790123457,0.021604938271604923,5.037037037037037,4.799382716049383,0.23765432098765427,4.780864197530864,4.296296296296297,-0.48456790123456717,0.2561728395061733,0.5030864197530862,-0.2469135802469129,0.5,0.6,-0.09999999999999998,5.1,3.8,1.2999999999999998,4.6,3.4,-1.1999999999999997,1,0,0.5319332082484202,1,0,50-55%
778553,2025-03-27,2025,TEX,BOS,0.5185185185185185,0.49074074074074076,0.027777777777777735,4.827160493827161,4.700617283950617,0.12654320987654355,4.487654320987654,4.700617283950617,0.2129629629629628,0.33950617283950635,0.0,0.33950617283950635,0.5,0.5,0.0,4.5,3.6,0.8999999999999999,4.4,3.2,-1.2000000000000002,1,0,0.5555161407852547,1,0,55-60%
778554,2025-03-27,2025,CWS,LAA,0.3148148148148148,0.41975308641975306,-0.10493827160493824,3.54320987654321,4.2407407407407405,-0.6975308641975304,5.104938271604938,5.018518518518518,-0.08641975308642014,-1.5617283950617282,-0.7777777777777777,-0.7839506172839505,0.5,0.1,0.4,3.7,3.6,0.10000000000000009,3.1,6.6,3.4999999999999996,1,1,0.47996375783399026,0,0,<50%
778555,2025-03-27,2025,WSH,PHI,0.4382716049382716,0.5709876543209876,-0.13271604938271603,4.197530864197531,4.8765432098765435,-0.6790123456790127,4.966049382716049,4.277777777777778,-0.6882716049382713,-0.7685185185185182,0.5987654320987659,-1.367283950617284,0.3,0.4,-0.10000000000000003,3.4,5.1,-1.6999999999999997,3.7,5.6,1.8999999999999995,1,0,0.4406666694730501,0,1,<50%
778556,2025-03-27,2025,TOR,BAL,0.5030864197530864,0.5925925925925926,-0.08950617283950613,4.3734567901234565,4.916666666666667,-0.5432098765432105,4.364197530864198,4.25,-0.11419753086419782,0.009259259259258634,0.666666666666667,-0.6574074074074083,0.2,0.7,-0.49999999999999994,2.8,5.6,-2.8,4.5,4.0,-0.5,1,0,0.4751420531653388,0,1,<50%
778557,2025-03-27,2025,NYY,MIL,0.5432098765432098,0.5709876543209876,-0.02777777777777779,4.592592592592593,4.645061728395062,-0.05246913580246915,4.216049382716049,3.9753086419753085,-0.24074074074074048,0.37654320987654355,0.6697530864197532,-0.2932098765432096,0.5,0.5,0.0,5.5,4.2,1.2999999999999998,4.1,4.1,0.0,1,1,0.5225247639771947,1,1,50-55%
778558,2025-03-27,2025,KC,CLE,0.4382716049382716,0.5201238390092879,-0.08185223407101633,4.354938271604938,4.241486068111455,0.11345220349348306,4.638888888888889,4.080495356037152,-0.5583935328517375,-0.283950617283951,0.1609907120743035,-0.4449413293582545,0.4,0.5,-0.09999999999999998,1.9,3.6,-1.7000000000000002,2.8,3.1,0.30000000000000027,1,0,0.4665937120535105,0,1,<50%
