feature_set,seasons_tested,avg_accuracy,avg_log_loss,avg_brier,worst_log_loss,best_log_loss,num_added_features,added_features,avg_log_loss_delta,avg_brier_delta,avg_accuracy_delta,beats_avg_log_loss,beats_avg_brier,beats_every_season_log_loss,beats_every_season_brier,strict_promotion_candidate
team_plus_opp_adj_offense_diff__home_faces_lhp,2,0.556515247188184,0.6815398171826578,0.24426817063119893,0.6826535403704012,0.6804260939949144,2,"opp_adj_offense_diff, home_faces_lhp",-7.857951867085156e-05,-3.436136928008926e-05,-0.0020602406533356543,True,True,False,False,False
team_plus_env_temp__home_faces_lhp,2,0.5622816489114577,0.6815457840527261,0.244272096957196,0.6826490491787538,0.6804425189266984,2,"env_temp, home_faces_lhp",-7.261264860247696e-05,-3.0435043283011387e-05,0.003706161069938041,True,True,False,False,False
team_plus_lineup_platoon_adv_pct_diff__away_faces_lhp,2,0.5577517646125245,0.6815492353380577,0.24427017583161026,0.6822236555033122,0.6808748151728031,2,"lineup_platoon_adv_pct_diff, away_faces_lhp",-6.916136327095312e-05,-3.235616886876347e-05,-0.0008237232289951546,True,True,False,False,False
team_plus_away_faces_lhp__home_faces_lhp,2,0.5573402421183353,0.6815876642551224,0.2442880067576885,0.6826056799918956,0.6805696485183493,2,"away_faces_lhp, home_faces_lhp",-3.07324462062164e-05,-1.4525242790525139e-05,-0.0012352457231843417,True,True,False,False,False
team_plus_away_lineup_platoon_adv_pct__home_faces_lhp,2,0.5624870710382439,0.6815999101941406,0.2442947149253663,0.6826768317458854,0.6805229886423957,2,"away_lineup_platoon_adv_pct, home_faces_lhp",-1.8486507188053558e-05,-7.8170751127149e-06,0.003911583196724244,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__away_faces_lhp,2,0.5581637110070992,0.6816663325065733,0.24432760833541126,0.6824736591161363,0.6808590058970103,2,"away_vs_hand_games_scaled, away_faces_lhp",4.793580524464769e-05,2.50763349322336e-05,-0.0004117768344205075,False,False,False,False,False
team_plus_lineup_platoon_adv_pct_diff__home_faces_lhp,2,0.5618703807574998,0.6818361866910215,0.24441114519495938,0.682954348339598,0.680718025042445,2,"lineup_platoon_adv_pct_diff, home_faces_lhp",0.00021778998969290697,0.00010861319448035589,0.0032948929159801743,False,False,False,False,False
team_plus_away_faces_lhp__away_lineup_platoon_adv_pct,2,0.5593987871701291,0.6818819893800262,0.24443475341822973,0.6829218472639006,0.6808421314961518,2,"away_faces_lhp, away_lineup_platoon_adv_pct",0.0002635926786975773,0.00013222141775071083,0.0008232993286094725,False,False,False,False,False
team_plus_opp_adj_offense_diff__home_road_rapg_diff,2,0.5544572955969298,0.6824013576060355,0.2446934954024305,0.6841582103148074,0.6806445048972636,2,"opp_adj_offense_diff, home_road_rapg_diff",0.0007829609047068642,0.0003909634019514663,-0.004118192244589869,False,False,False,False,False
team_plus_vs_hand_games_scaled_diff__home_road_rapg_diff,2,0.5534290828219964,0.6824029411591792,0.2446923995852906,0.6845080851022193,0.6802977972161391,2,"vs_hand_games_scaled_diff, home_road_rapg_diff",0.0007845444578505889,0.00038986758481157624,-0.005146405019523237,False,False,False,False,False
team_plus_away_vs_hand_games_scaled__home_road_rapg_diff,2,0.5519882454118719,0.6824952815981081,0.24473731192852166,0.6843962068960313,0.6805943563001849,2,"away_vs_hand_games_scaled, home_road_rapg_diff",0.0008768848967795062,0.000434779928042639,-0.0065872424296478105,False,False,False,False,False
team_plus_lineup_platoon_adv_pct_diff__home_road_rapg_diff,2,0.5573416833796458,0.6825644694250337,0.2447695907374409,0.6843608631557485,0.6807680756943189,2,"lineup_platoon_adv_pct_diff, home_road_rapg_diff",0.0009460727237050603,0.00046705873696187283,-0.001233804461873822,False,False,False,False,False
team_plus_away_lineup_platoon_adv_pct__home_road_rapg_diff,2,0.5546649220057203,0.6825816424462916,0.24477769049745876,0.684415337946429,0.6807479469461541,2,"away_lineup_platoon_adv_pct, home_road_rapg_diff",0.0009632457449629817,0.00047515849697973844,-0.003910565835799407,False,False,False,False,False
team_plus_away_faces_lhp__home_road_rapg_diff,2,0.5528114599604043,0.6826023451622718,0.24478870165992858,0.6843939949232145,0.680810695401329,2,"away_faces_lhp, home_road_rapg_diff",0.0009839484609431848,0.00048616965944955903,-0.005764027881115408,False,False,False,False,False
team_plus_env_temp__home_road_rapg_diff,2,0.5550761901596781,0.682630281879093,0.24480535267771797,0.684578869013057,0.6806816947451292,2,"env_temp, home_road_rapg_diff",0.0010118851777644045,0.0005028206772389465,-0.00349929768184154,False,False,False,False,False
team_plus_home_faces_lhp__home_road_rapg_diff,2,0.551577062037991,0.6829405482114081,0.24495301673108064,0.6851051165257394,0.6807759798970769,2,"home_faces_lhp, home_road_rapg_diff",0.0013221515100795278,0.0006504847306016137,-0.006998425803528718,False,False,False,False,False
