feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
games_last_7_days_diff,2025,2428,0.5593080724876441,0.6810003582968767,0.24402101940761056,-9.780780789081511e-05,-4.651865803459443e-05
home_stand_len,2025,2428,0.5584843492586491,0.6812243504551301,0.24413026081341024,0.00012618435036260145,6.272274776508713e-05
travel_switch_diff,2025,2428,0.5580724876441515,0.6812618984972556,0.24414664081912896,0.0001637323924881251,7.910275348380069e-05
away_road_trip_len,2025,2428,0.5609555189456342,0.6812955371505561,0.24416307228868372,0.0001973710457886524,9.553422303856807e-05
home_stand_vs_away_road_trip_diff,2025,2428,0.5547775947281713,0.6813917160790531,0.24421067806320643,0.0002935499742856562,0.00014313999756127016
rest_days_diff,2025,2428,0.5605436573311368,0.6816995751396314,0.24434970717379637,0.0006014090348639423,0.000282169108151209
days_since_last_game_diff,2025,2428,0.5605436573311368,0.6817518467184603,0.24437815763701823,0.0006536806136928641,0.00031061957137307195
no_rest_diff,2025,2428,0.5605436573311368,0.68186731105063,0.24442847322290062,0.0007691449458625543,0.0003609351572554653
games_last_3_days_diff,2025,2428,0.5621911037891268,0.6823160873870258,0.2446497554087222,0.001217921282258283,0.000582217343077035
