prob_bucket,games,avg_projected_prob,actual_win_rate,accuracy
50-55%,799,0.5258541413723028,0.5469336670838548,0.5469336670838548
55-60%,489,0.5726703856552471,0.5644171779141104,0.5644171779141104
60-65%,216,0.6197291366741111,0.6527777777777778,0.6527777777777778
65-70%,50,0.6658068544926067,0.82,0.82
<50%,874,0.45986265105871127,0.4851258581235698,0.5148741418764302
