model,test_season,games_tested,accuracy,log_loss,brier_score
Logistic Regression,2025,2428,0.5539538714991763,0.6809690641427972,0.24400434321015538
Random Forest,2025,2428,0.5395387149917628,0.6817770861593808,0.24446187029640734
Gradient Boosting,2025,2428,0.5514827018121911,0.6829038877300028,0.2449936423230776
