feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
bp_whip_diff,2025,2428,0.5531301482701813,0.6807696845804767,0.24391688131384548,-0.00032848152429076904,-0.00015065675179967708
bp_era_diff,2025,2428,0.5514827018121911,0.6808883370519633,0.24397131096848412,-0.00020982905280420017,-9.62270971610335e-05
bp_recent_pitches_diff,2025,2428,0.5617792421746294,0.680953564764319,0.24399562873891786,-0.00014460134044846917,-7.1909326727293e-05
bp_recent_ip_diff,2025,2428,0.5588962108731467,0.6810687932622809,0.24405286275583388,-2.9372842486607986e-05,-1.4675309811279513e-05
bp_fatigue_diff,2025,2428,0.5597199341021417,0.6810981661047675,0.24406753806564516,0.0,0.0
bp_kbb_diff,2025,2428,0.5535420098846787,0.6818874737748556,0.2444572724268913,0.000789307670088113,0.0003897343612461468
